"","item.stats.r","item.stats.r.cor","item.stats.r.drop"
"23-",0.702490104993756,0.702490104990322,0.679520885536112
"26",0.361163406456104,0.361163406450094,0.233682495134794
"I-1",0.809547142594475,0.809547142591755,0.783929495902185
"I-2",0.408705748180768,0.408705748175266,0.286820274086577
"28-",0.408705748180768,0.408705748175266,0.286820274086577
"38-",0.317055180397202,0.317055180390985,0.292684703502482
"92-",0.222139841314677,0.22213984130772,0.0790295054660748
"II-7-",0.462811427856038,0.462811427850988,0.473879102207274
"III-1",0.899693373266379,0.899693373264392,0.924473451641905
"III-3",0.462811427856038,0.462811427850988,0.473879102207274
"III-5-",0.462811427856038,0.462811427850988,0.473879102207274
"89-",0.762910973994203,0.762910973991183,0.75913410210597
"42",0.943114353094204,0.943114353092393,0.923031231613766
"83",0.943114353094204,0.943114353092393,0.923031231613766
"62-",0.582638192869177,0.582638192864722,0.510753918455249
"58",0.809547142594475,0.809547142591755,0.783929495902185
"55",0.408705748180768,0.408705748175266,0.286820274086577
"V-2",0.943114353094204,0.943114353092393,0.923031231613766
"28.1",0.408705748180768,0.408705748175266,0.286820274086577
"VII-3",0.943114353094204,0.943114353092393,0.914702166580753
"VII-6",0.809547142594475,0.809547142591755,0.783929495902185
"VII-7-",0.899693373266379,0.899693373264392,0.924473451641905
"VII-9-",0.526078773216457,0.526078773211814,0.564535751369378
